Label,StopwordRemovedSentence
positive,work finished fire destroyed trace proceedings island could jumped liked cost vessel great
neutral,aronnax iron vessel costs 145 per ton
neutral,nautilus weighed 1500
positive,came therefore 67 500 80 000 fitting 200 000 works art collections contains one last question captain nemo ask professor rich immensely rich sir could without missing pay national debt france stared singular person spoke thus
neutral,playing upon credulity
neutral,future would decide
neutral,portion terrestrial globe covered water estimated upwards eighty millions acres
neutral,fluid mass comprises two billions two hundred fifty millions cubic miles forming spherical body diameter sixty leagues weight would three quintillions tons
neutral,comprehend meaning figures necessary observe quintillion billion billion unity words many billions quintillion units billion
neutral,mass fluid equal quantity water would discharged rivers earth forty thousand years
positive,geological epochs igneous period succeeded aqeous
neutral,ocean originally prevailed everywhere
positive,degrees silurian period tops mountains began appear islands emerged disappeared partial deluges reappeared became settled formed continents till length earth became geographically arranged see present day
positive,solid wrested liquid thirty seven million six hundred fifty seven square miles equal twelve billion nine hundred sixty millions acres
positive,shape continents allows us divide waters five great portions arctic frozen ocean antarctic frozen ocean indian atlantic pacific oceans
positive,pacific ocean extends north south two polar circles east west asia america extent 145 degrees longitude
neutral,quietest seas currents broad slow medium tides abundant rain
negative,ocean fate destined first travel strange conditions
positive,sir said captain nemo please take bearings fix starting point voyage
neutral,quarter twelve go surface captain pressed electric clock three times
negative,pumps began drive water tanks needle manometer marked different pressure ascent nautilus stopped
neutral,arrived said captain
neutral,went central staircase opened platform clambered iron steps found upper part nautilus
neutral,platform three feet water
neutral,front back nautilus spindle shape caused justly compared cigar
neutral,noticed iron plates slightly overlaying resembled shell clothes bodies large terrestrial reptiles
positive,explained natural spite glasses boat taken marine animal
neutral,toward middle platform long boat half buried hull vessel formed slight excrescence
positive,fore aft rose two cages medium height inclined sides partly closed thick lenticular glasses one destined steersman directed nautilus containing brilliant lantern give light road
positive,sea beautiful sky pure
neutral,scarcely could long vehicle feel broad undulations ocean
neutral,light breeze east rippled surface waters
positive,horizon free fog made observation easy
neutral,nothing sight
neutral,quicksand island
neutral,vast desert
positive,captain nemo help sextant took altitude sun ought also give latitude
neutral,waited moments till disc touched horizon
neutral,whilst taking observations muscle moved instrument could motionless hand marble
neutral,illustration captain nemo took sun altitude twelve clock sir said
positive,like cast last look upon sea slightly yellowed japanese coast descended saloon
negative,sir leave studies added captain course e n e depth twenty six fathoms
neutral,maps large scale may follow
negative,saloon disposal permission retire captain nemo bowed remained alone lost thoughts bearing commander nautilus
positive,whole hour deep reflections seeking pierce mystery interesting
neutral,eyes fell upon vast planisphere spread upon table placed finger spot given latitude longitude crossed
positive,sea large rivers like continents
positive,special currents known temperature colour
positive,remarkable known name gulf stream
neutral,science decided globe direction five principal currents one north atlantic second south third north pacific fourth south fifth southern indian ocean
neutral,even probable sixth current existed one time another northern indian ocean caspian aral seas formed one vast sheet water
positive,point indicated planisphere one currents rolling kuro scivo japanese black river leaving gulf bengal warmed perpendicular rays tropical sun crosses straits malacca along coast asia turns north pacific aleutian islands carrying trunks camphor trees indigenous productions edging waves ocean pure indigo warm water
neutral,current nautilus follow
neutral,followed eye saw lose vastness pacific felt drawn ned land conseil appeared door saloon
negative,two brave companions remained petrified sight wonders spread
neutral,exclaimed canadian
positive,museum quebec friends answered making sign enter canada board nautilus fifty yards level sea aronnax said ned land tell many men board
positive,ten twenty fifty hundred cannot answer mr land better abandon time idea seizing nautilus escaping
positive,ship masterpiece modern industry sorry seen
negative,many people would accept situation forced upon us move amongst wonders
negative,quiet let us try see passes around us see exclaimed harpooner see nothing iron prison
negative,walking sailing blindly ned land scarcely pronounced words suddenly darkness
negative,luminous ceiling gone rapidly eyes received painful impression
negative,remained mute stirring knowing surprise awaited us whether agreeable disagreeable
neutral,sliding noise heard one would said panels working sides nautilus
neutral,end end said ned land
negative,suddenly light broke side saloon two oblong openings
positive,liquid mass appeared vividly lit electric gleam
neutral,two crystal plates separated us sea
positive,first trembled thought frail partition might break strong bands copper bound giving almost infinite power resistance
neutral,sea distinctly visible mile round nautilus
neutral,spectacle
neutral,pen describe
positive,could paint effects light transparent sheets water softness successive gradations lower superior strata ocean
neutral,know transparency sea clearness far beyond rock water
neutral,mineral organic substances holds suspension heightens transparency
positive,certain parts ocean antilles seventy five fathoms water seen surprising clearness bed sand
neutral,penetrating power solar rays seem cease depth one hundred fifty fathoms
positive,middle fluid travelled nautilus electric brightness produced even bosom waves
neutral,longer luminous water liquid light
neutral,side window opened unexplored abyss
positive,obscurity saloon showed advantage brightness outside looked pure crystal glass immense aquarium
positive,wished see friend ned well see curious
positive,curious muttered canadian forgetting ill temper seemed submit irresistible attraction one would come admire sight ah thought understand life man made world apart treasures greatest wonders two whole hours aquatic army escorted nautilus
positive,games bounds rivalling beauty brightness velocity distinguished green labre banded mullet marked double line black round tailed goby white colour violet spots back japanese scombrus beautiful mackerel seas blue body silvery head brilliant azurors whose name alone defies description banded spares variegated fins blue yellow woodcocks seas specimens attain yard length japanese salamanders spider lampreys serpents six feet long eyes small lively huge mouth bristling teeth many species
neutral,imagination kept height interjections followed quickly
neutral,ned named fish conseil classed
positive,ecstasies vivacity movements beauty forms
positive,never given surprise animals alive liberty natural element
neutral,mention varieties passed dazzled eyes collection seas china japan
positive,fish numerous birds air came attracted doubt brilliant focus electric light
negative,suddenly daylight saloon iron panels closed enchanting vision disappeared
neutral,long time dreamt till eyes fell instruments hanging partition
negative,compass still showed course e n e manometer indicated pressure five atmospheres equivalent depth twenty five fathoms electric log gave speed fifteen miles hour
neutral,expected captain nemo appear
neutral,clock marked hour five
neutral,ned land conseil returned cabin retired chamber
positive,dinner ready
positive,composed turtle soup made delicate hawksbills surmullet served puff paste liver prepared delicious fillets emperor holocanthus savour seemed superior even salmon
neutral,passed evening reading writing thinking
neutral,sleep overpowered stretched couch zostera slept profoundly whilst nautilus gliding rapidly current black river
neutral,next day 9th november
neutral,awoke long sleep twelve hours
neutral,conseil came according custom know passed night offer services
positive,left friend canadian sleeping like man never done anything else life
positive,let worthy fellow chatter pleased without caring answer
positive,pre occupied absence captain sitting day hoping see day
neutral,soon dressed went saloon
neutral,deserted
positive,plunged study shell treasures hidden behind glasses
positive,revelled also great herbals filled rarest marine plants although dried retained lovely colours
positive,amongst precious hydrophytes remarked vorticell pavonari delicate ceramies scarlet tints fan shaped agari natabuli like flat mushrooms one time used classed zoophytes short perfect series alg
positive,whole day passed without honoured visit captain nemo
neutral,panels saloon open
positive,perhaps wish us tire beautiful things
neutral,course nautilus e n e speed twelve knots depth surface twenty five thirty fathoms
neutral,next day 10th november desertion solitude
positive,see one ship crew ned conseil spent greater part day
positive,astonished inexplicable absence captain
negative,singular man ill altered intentions regard us
positive,conseil said enjoyed perfect liberty delicately abundantly fed
neutral,host kept terms treaty
positive,could complain indeed singularity fate reserved wonderful compensation us right accuse yet
positive,day commenced journal adventures enabled relate scrupulous exactitude minute detail
neutral,wrote paper made zostera marina
neutral,11th november early morning
positive,fresh air spreading interior nautilus told come surface ocean renew supply oxygen
neutral,directed steps central staircase mounted platform
positive,six clock weather cloudy sea grey calm
neutral,scarcely billow
neutral,captain nemo hoped meet would
negative,saw one steersman imprisoned glass cage
positive,seated upon projection formed hull pinnace inhaled salt breeze delight
positive,degrees fog disappeared action sun rays radiant orb rose behind eastern horizon
positive,sea flamed glance like train gunpowder
positive,clouds scattered heights coloured lively tints beautiful shades numerous mare tails betokened wind day
neutral,wind nautilus tempests could frighten
positive,admiring joyous rising sun gay lifegiving heard steps approaching platform
positive,prepared salute captain nemo second already seen captain first visit appeared
positive,advanced platform seeming see
positive,powerful glass eye scanned every point horizon great attention
positive,examination approached panel pronounced sentence exactly terms
neutral,remembered every morning repeated exactly conditions
neutral,thus worded nautron respoc lorni virch meant could say
neutral,words pronounced second descended
neutral,thought nautilus return submarine navigation
neutral,regained panel returned chamber
neutral,five days sped thus without change situation
neutral,every morning mounted platform
neutral,phrase pronounced individual
neutral,captain nemo appear
neutral,made mind never see 16th november returning room ned conseil found upon table note addressed
negative,opened impatiently
positive,written bold clear hand characters rather pointed recalling german type
neutral,note worded follows 16th november 1867
neutral,professor aronnax board nautilus
neutral,captain nemo invites professor aronnax hunting party take place morrow morning forests island crespo
positive,hopes nothing prevent professor present pleasure see joined companions
neutral,captain nemo commander nautilus
neutral,hunt exclaimed ned
neutral,forests island crespo added conseil
neutral,oh
neutral,gentleman going terra firma replied ned land
positive,seems clearly indicated said reading letter
positive,well must accept said canadian
neutral,dry ground shall know
positive,indeed shall sorry eat piece fresh venison without seeking reconcile contradictory captain nemo manifest aversion islands continents invitation hunt forest contented replying let us first see island crespo consulted planisphere 32 40 north lat
neutral,157 50 west long found small island recognised 1801 captain crespo marked ancient spanish maps rocca de la plata meaning silver rock eighteen hundred miles starting point course nautilus little changed bringing back towards south east
negative,showed little rock lost midst north pacific companions
neutral,captain nemo sometimes go dry ground said least chooses desert islands ned land shrugged shoulders without speaking conseil left
negative,supper served steward mute impassive went bed without anxiety
positive,next morning 17th november awakening felt nautilus perfectly still
neutral,dressed quickly entered saloon
neutral,captain nemo waiting
positive,rose bowed asked convenient accompany
positive,made allusion absence last eight days mention simply answered companions ready follow
neutral,entered dining room breakfast served
neutral,
positive,aronnax said captain pray share breakfast without ceremony chat eat
positive,though promised walk forest undertake find hotels
positive,breakfast man likely dinner till late honour repast
positive,composed several kinds fish slices holothurid excellent zoophytes different sorts sea weed
positive,drink consisted pure water captain added drops fermented liquor extracted kamschatcha method sea weed known name rhodomenia palmata
neutral,captain nemo ate first without saying word
negative,began sir proposed hunt submarine forest crespo evidently thought mad
positive,sir never judge lightly man captain believe kind enough listen see whether cause accuse folly contradiction listen know well professor man live water providing carries sufficient supply breathable air
neutral,submarine works workman clad impervious dress head metal helmet receives air means forcing pumps regulators diving apparatus said
positive,conditions man liberty attached pump sends air india rubber tube obliged thus held nautilus could go far means getting free asked
positive,use rouquayrol apparatus invented two countrymen brought perfection use allow risk new physiological conditions without organ whatever suffering
negative,consists reservoir thick iron plates store air pressure fifty atmospheres
positive,reservoir fixed back means braces like soldier knapsack
negative,upper part forms box air kept means bellows therefore cannot escape unless normal tension
positive,rouquayrol apparatus use two india rubber pipes leave box join sort tent holds nose mouth one introduce fresh air let foul tongue closes one according wants respirator
positive,encountering great pressures bottom sea obliged shut head like diver ball copper ball copper two pipes inspirator expirator open perfectly captain nemo air carry must soon used contains fifteen per cent
positive,oxygen longer fit breathe right
negative,told aronnax pumps nautilus allow store air considerable pressure conditions reservoir apparatus furnish breathable air nine ten hours objections make answered ask one thing captain light road bottom sea ruhmkorff apparatus aronnax one carried back fastened waist
neutral,composed bunsen pile work bichromate potash sodium
neutral,wire introduced collects electricity produced directs towards particularly made lantern
neutral,lantern spiral glass contains small quantity carbonic gas
positive,apparatus work gas becomes luminous giving white continuous light
negative,thus provided breathe see captain nemo objections make crushing answers dare longer doubt
negative,forced admit rouquayrol ruhmkorff apparatus must allowed reservations regard gun carry gun powder answered captain
negative,air gun doubtless
negative,would manufacture gunpowder board without either saltpetre sulphur charcoal besides added fire water medium eight hundred fifty five times denser air must conquer considerable resistance would difficulty
neutral,exist guns according fulton perfected england philip coles burley france furcy italy landi furnished peculiar system closing fire conditions
positive,repeat powder use air great pressure pumps nautilus furnish abundantly air must rapidly used well rouquayrol reservoir furnish need
neutral,tap required
negative,besides aronnax must see submarine hunt spend little air balls seems twilight midst fluid dense compared atmosphere shots could go far easily prove mortal sir contrary gun every blow mortal however lightly animal touched falls struck thunderbolt balls sent gun ordinary balls little cases glass invented leniebroek austrian chemist large supply
negative,glass cases covered case steel weighted pellet lead real leyden bottles electricity forced high tension
negative,slightest shock discharged animal however strong may falls dead
negative,must tell cases size number four charge ordinary gun would ten argue longer replied rising table nothing left take gun
neutral,events go go captain nemo led aft passing ned conseil cabin called two companions followed immediately
positive,came kind cell near machinery room put walking dress
neutral,cell speak correctly arsenal wardrobe nautilus
neutral,dozen diving apparatuses hung partition waiting use
neutral,ned land seeing showed evident repugnance dress one
positive,worthy ned forests island crespo nothing submarine forests good said disappointed harpooner saw dreams fresh meat fade away
negative,aronnax going dress clothes alternative master ned please sir replied harpooner shrugging shoulders unless forced never get one one force master ned said captain nemo
negative,conseil going risk asked ned
neutral,follow master wherever goes replied conseil
positive,captain call two ship crew came help us dress heavy impervious clothes made india rubber without seam constructed expressly resist considerable pressure
neutral,one would thought suit armour supple resisting
neutral,suit formed trousers waistcoat
neutral,trousers finished thick boots weighted heavy leaden soles
positive,texture waistcoat held together bands copper crossed chest protecting great pressure water leaving lungs free act sleeves ended gloves way restrained movement hands
positive,vast difference noticeable consummate apparatuses old cork breastplates jackets contrivances vogue eighteenth century
positive,captain nemo one companions sort hercules must possessed great strength conseil soon enveloped dresses
neutral,remained nothing done enclose heads metal box
neutral,proceeding operation asked captain permission examine guns carry
negative,one nautilus men gave simple gun butt end made steel hollow centre rather large
negative,served reservoir compressed air valve worked spring allowed escape metal tube
negative,box projectiles groove thickness butt end contained twenty electric balls means spring forced barrel gun
negative,soon one shot fired another ready
positive,captain nemo said arm perfect easily handled ask allowed try
positive,shall gain bottom sea moment professor nautilus stranded five fathoms nothing start shall get shall see captain nemo thrust head helmet conseil without hearing ironical good sport canadian
negative,upper part dress terminated copper collar upon screwed metal helmet
positive,three holes protected thick glass allowed us see directions simply turning head interior head dress
positive,soon position rouquayrol apparatus backs began act part could breathe ease
positive,ruhmkorff lamp hanging belt gun hand ready set
negative,speak truth imprisoned heavy garments glued deck leaden soles impossible take step
positive,illustration ready set state things provided
neutral,felt pushed little room contiguous wardrobe room
neutral,companions followed towed along way
negative,heard water tight door furnished stopper plates close upon us wrapped profound darkness
neutral,minutes loud hissing heard
neutral,felt cold mount feet chest
neutral,evidently part vessel means tap given entrance water invading us room soon filled
negative,second door cut side nautilus opened
neutral,saw faint light
neutral,another instant feet trod bottom sea
neutral,retrace impression left upon walk waters
negative,words impotent relate wonders
neutral,captain nemo walked front companion followed steps behind
neutral,conseil remained near exchange words possible metallic cases
positive,longer felt weight clothing shoes reservoir air thick helmet midst head rattled like almond shell
positive,light lit soil thirty feet surface ocean astonished power
positive,solar rays shone watery mass easily dissipated colour clearly distinguished objects distance hundred fifty yards
negative,beyond tints darkened fine gradations ultramarine faded vague obscurity
neutral,truly water surrounded another air denser terrestrial atmosphere almost transparent
positive,calm surface sea
positive,walking fine even sand wrinkled flat shore retains impression billows
positive,dazzling carpet really reflector repelled rays sun wonderful intensity accounted vibration penetrated every atom liquid
neutral,shall believed say depth thirty feet could see broad daylight
neutral,quarter hour trod sand sown impalpable dust shells
negative,hull nautilus resembling long shoal disappeared degrees lantern darkness overtake us waters would help guide us board distinct rays
neutral,soon forms objects outlined distance discernible
positive,recognised magnificent rocks hung tapestry zoophytes beautiful kind first struck peculiar effect medium
negative,ten morning rays sun struck surface waves rather oblique angle touch light decomposed refraction prism flowers rocks plants shells polypi shaded edges seven solar colours
positive,marvellous feast eyes complication coloured tints perfect kaleidoscope green yellow orange violet indigo blue one word whole palette enthusiastic colourist
positive,could communicate conseil lively sensations mounting brain rival expressions admiration
positive,aught knew captain nemo companion might able exchange thoughts means signs previously agreed upon
positive,want better talked declaimed copper box covered head thereby expending air vain words perhaps expedient
positive,various kinds isis clusters pure tuft coral prickly fungi anemones formed brilliant garden flowers enamelled porphit decked collarettes blue tentacles sea stars studding sandy bottom together asterophytons like fine lace embroidered hands na ads whose festoons waved gentle undulations caused walk
positive,real grief crush feet brilliant specimens molluscs strewed ground thousands hammer heads donaciae veritable bounding shells staircases red helmet shells angel wings many others produced inexhaustible ocean
negative,bound walk went whilst heads waved shoals physalides leaving tentacles float train medus whose umbrellas opal rose pink escalloped band blue sheltered us rays sun fiery pelagi darkness would strewn path phosphorescent light
negative,wonders saw space quarter mile scarcely stopping following captain nemo beckoned signs
positive,soon nature soil changed sandy plain succeeded extent slimy mud americans call ooze composed equal parts silicious calcareous shells
neutral,travelled plain sea weed wild luxuriant vegetation
positive,sward close texture soft feet rivalled softest carpet woven hand man
negative,whilst verdure spread feet abandon heads
neutral,light network marine plants inexhaustible family sea weeds two thousand kinds known grew surface water
positive,saw long ribbons fucus floating globular others tuberous laurenci cladostephi delicate foliage rhodomeni palmat resembling fan cactus
positive,noticed green plants kept nearer top sea whilst red greater depth leaving black brown hydrophytes care forming gardens parterres remote beds ocean
neutral,quitted nautilus hour half
neutral,near noon knew perpendicularity sun rays longer refracted
negative,magical colours disappeared degrees shades emerald sapphire effaced
positive,walked regular step rang upon ground astonishing intensity slightest noise transmitted quickness ear unaccustomed earth indeed water better conductor sound air ratio four one
neutral,period earth sloped downwards light took uniform tint
negative,depth hundred five yards twenty inches undergoing pressure six atmospheres
positive,depth could still see rays sun though feebly intense brilliancy succeeded reddish twilight lowest state day night could still see well enough necessary resort ruhmkorff apparatus yet
negative,moment captain nemo stopped waited till joined pointed obscure mass looming shadow short distance
negative,forest island crespo thought mistaken
positive,last arrived borders forest doubtless one finest captain nemo immense domains
neutral,looked upon considered right first men first days world
negative,indeed would disputed possession submarine property
positive,hardier pioneer would come hatchet hand cut dark copses
negative,forest composed large tree plants moment penetrated vast arcades struck singular position branches position yet observed
negative,herb carpeted ground branch clothed trees either broken bent extend horizontally stretched surface ocean
positive,filament ribbon however thin might kept straight rod iron
negative,fuci llianas grew rigid perpendicular lines due density element produced
positive,motionless yet bent one side hand directly resumed former position
neutral,truly region perpendicularity
positive,soon accustomed fantastic position well comparative darkness surrounded us
negative,soil forest seemed covered sharp blocks difficult avoid
positive,submarine flora struck perfect richer even would arctic tropical zones productions plentiful
negative,minutes involuntarily confounded genera taking zoophytes hydrophytes animals plants would mistaken
neutral,fauna flora closely allied submarine world
neutral,plants self propagated principle existence water upholds nourishes
positive,greater number instead leaves shot forth blades capricious shapes comprised within scale colours pink carmine green olive fawn brown
positive,saw dried specimens nautilus pavonari spread like fan catch breeze scarlet ceramies whose laminaries extended edible shoots fern shaped nereocysti grow height fifteen feet clusters acetabuli whose stems increase size upwards numbers marine plants devoid flowers
positive,curious anomaly fantastic element said ingenious naturalist animal kingdom blossoms vegetable numerous shrubs large trees temperate zone damp shadow massed together real bushes living flowers hedges zoophytes blossomed zebrameandrines crooked grooves yellow caryophylli complete allusion fish flies flew branch branch like swarm humming birds whilst yellow lepisacomthi bristling jaws dactylopteri monocentrides rose feet like flight snipes
neutral,hour captain nemo gave signal halt
positive,part sorry stretched arbour alari long thin blades stood like arrows
positive,short rest seemed delicious nothing wanting charm conversation impossible speak impossible answer put great copper head conseil
positive,saw worthy fellow eyes glistening delight show satisfaction shook breastplate air comical way world
negative,four hours walking surprised find dreadfully hungry
neutral,account state stomach could tell
positive,instead felt insurmountable desire sleep happens divers
negative,eyes soon closed behind thick glasses fell heavy slumber movement alone prevented
positive,captain nemo robust companion stretched clear crystal set us example
neutral,long remained buried drowsiness cannot judge woke sun seemed sinking towards horizon
neutral,captain nemo already risen beginning stretch limbs unexpected apparition brought briskly feet
positive,steps monstrous sea spider thirty eight inches high watching squinting eyes ready spring upon
negative,though diver dress thick enough defend bite animal could help shuddering horror
neutral,conseil sailor nautilus awoke moment
negative,captain nemo pointed hideous crustacean blow butt end gun knocked saw horrible claws monster writhe terrible convulsions
negative,accident reminded animals feared might haunt obscure depths whose attacks diving dress would protect
negative,never thought resolved upon guard
positive,indeed thought halt would mark termination walk mistaken instead returning nautilus captain nemo continued bold excursion
positive,ground still incline declivity seemed getting greater leading us greater depths
positive,must three clock reached narrow valley high perpendicular walls situated seventy five fathoms deep
positive,thanks perfection apparatus forty five fathoms limit nature seems imposed man submarine excursions
neutral,say seventy five fathoms though instrument judge distance
neutral,knew even clearest waters solar rays could penetrate
negative,accordingly darkness deepened
neutral,ten paces object visible
positive,groping way suddenly saw brilliant white light
neutral,captain nemo put electric apparatus use companion conseil followed example
neutral,turning screw established communication wire spiral glass sea lit four lanterns illuminated circle thirty six yards
neutral,captain nemo still plunging dark depths forest whose trees getting scarcer every step
negative,noticed vegetable life disappeared sooner animal life
positive,medus already abandoned arid soil great number animals zoophytes articulata molluscs fishes still obtained sustenance
negative,walked thought light ruhmkorff apparatus could fail draw inhabitant dark couch
positive,approach us least kept respectful distance hunters
negative,several times saw captain nemo stop put gun shoulder moments drop walk
neutral,last four hours marvellous excursion came end
positive,wall superb rocks imposing mass rose us heap gigantic blocks enormous steep granite shore forming dark grottos presented practicable slope prop island crespo
neutral,earth
negative,captain nemo stopped suddenly
positive,gesture brought us halt however desirous might scale wall obliged stop
neutral,ended captain nemo domains
neutral,would go beyond
neutral,portion globe might trample upon
neutral,return began
negative,captain nemo returned head little band directing course without hesitation
neutral,thought following road return nautilus
negative,new road steep consequently painful
neutral,approached surface sea rapidly
negative,return upper strata sudden cause relief pressure rapidly might produced serious disorder organisation brought internal lesions fatal divers
negative,soon light reappeared grew sun low horizon refraction edged different objects spectral ring
positive,ten yards half deep walked amidst shoal little fishes kinds numerous birds air also agile aquatic game worthy shot yet met gaze moment saw captain shoulder gun quickly follow moving object shrubs
negative,fired heard slight hissing creature fell stunned distance us
positive,magnificent sea otter enhydrus exclusively marine quadruped
negative,otter five feet long must valuable
positive,skin chestnut brown silvery underneath would made one beautiful furs sought russian chinese markets fineness lustre coat would certainly fetch 80
positive,admired curious mammal rounded head ornamented short ears round eyes white whiskers like cat webbed feet nails tufted tail
positive,precious animal hunted tracked fishermen become rare taken refuge chiefly northern parts pacific probably race would soon become extinct
neutral,captain nemo companion took beast threw shoulder continued journey
neutral,one hour plain sand lay stretched us
positive,sometimes rose within two yards inches surface water
positive,saw image clearly reflected drawn inversely us appeared identical group reflecting movements actions word like us every point except walked heads downward feet air
positive,another effect noticed passage thick clouds formed vanished rapidly reflection understood seeming clouds due varying thickness reeds bottom could even see fleecy foam broken tops multiplied water shadows large birds passing heads whose rapid flight could discern surface sea
negative,occasion witness one finest gun shots ever made nerves hunter thrill
positive,large bird great breadth wing clearly visible approached hovering us
negative,captain nemo companion shouldered gun fired yards waves
negative,creature fell stunned force fall brought within reach dexterous hunter grasp
positive,albatross finest kind
negative,march interrupted incident
negative,two hours followed sandy plains fields alg disagreeable cross
negative,candidly could saw glimmer light half mile broke darkness waters
neutral,lantern nautilus
positive,twenty minutes board able breathe ease seemed reservoir supplied air deficient oxygen
negative,reckon accidental meeting delayed arrival time
neutral,remained steps behind presently saw captain nemo coming hurriedly towards
positive,strong hand bent ground companion conseil
negative,first knew think sudden attack soon reassured seeing captain lie beside remain immovable
neutral,stretched ground shelter bush alg raising head saw enormous mass casting phosphorescent gleams pass blusteringly
negative,blood froze veins recognised two formidable sharks threatened us
negative,couple tintoreas terrible creatures enormous tails dull glassy stare phosphorescent matter ejected holes pierced around muzzle
neutral,monstrous brutes
negative,would crush whole man iron jaws
negative,know whether conseil stopped classify part noticed silver bellies huge mouths bristling teeth unscientific point view possible victim naturalist
positive,happily voracious creatures see well
positive,passed without seeing us brushing us brownish fins escaped miracle danger certainly greater meeting tiger full face forest
positive,half hour guided electric light reached nautilus
neutral,outside door left open captain nemo closed soon entered first cell
neutral,pressed knob
negative,heard pumps working midst vessel felt water sinking around moments cell entirely empty
neutral,inside door opened entered vestry
positive,diving dress taken without trouble fairly worn want food sleep
positive,returned room great wonder surprising excursion bottom sea
negative,next morning 18th november quite recovered fatigues day went platform second lieutenant uttering daily phrase
positive,admiring magnificent aspect ocean captain nemo appeared
neutral,seem aware presence began series astronomical observations
neutral,finished went leant cage watch light gazed abstractedly ocean
positive,meantime number sailors nautilus strong healthy men come onto platform
neutral,came draw nets laid night
neutral,sailors evidently different nations although european type visible
neutral,recognised unmistakable irishmen frenchmen sclaves greek candiote
negative,civil used odd language among origin could guess neither could question
neutral,nets hauled
positive,large kind chaluts like normandy coasts great pockets waves chain fixed smaller meshes kept open
neutral,pockets drawn iron poles swept water gathered everything way
positive,day brought curious specimens productive coasts
neutral,reckoned haul brought nine hundredweight fish
positive,fine haul wondered
neutral,indeed nets let several hours enclose meshes infinite variety
positive,lack excellent food rapidity nautilus attraction electric light could always renew supply
positive,several productions sea immediately lowered panel steward room eaten fresh others pickled
neutral,fishing ended provision air renewed thought nautilus continue submarine excursion preparing return room without preamble captain turned saying professor ocean gifted real life
positive,tempers gentle moods
neutral,yesterday slept woke quiet night
neutral,look continued wakes caresses sun
neutral,going renew diurnal existence
positive,interesting study watch play organisation
positive,pulse arteries spasms agree learned maury discovered circulation real circulation blood animals
positive,yes ocean indeed circulation promote creator caused things multiply caloric salt animalculae captain nemo spoke thus seemed altogether changed aroused extraordinary emotion
positive,also added true existence imagine foundations nautical towns clusters submarine houses like nautilus would ascend every morning breathe surface water free towns independent cities
negative,yet knows whether despot captain nemo finished sentence violent gesture
negative,addressing chase away sorrowful thought
neutral,aronnax asked know depth ocean know captain principal soundings taught us could tell suit purpose replied remember
negative,mistaken depth 8 000 yards found north atlantic 2 500 yards mediterranean
positive,remarkable soundings made south atlantic near thirty fifth parallel gave 12 000 yards 14 000 yards 15 000 yards
positive,sum reckoned bottom sea levelled mean depth would one three quarter leagues well professor replied captain shall show better hope
negative,mean depth part pacific tell 4 000 yards said captain nemo went towards panel disappeared ladder
neutral,followed went large drawing room
neutral,screw immediately put motion log gave twenty miles hour
neutral,days weeks passed captain nemo sparing visits
neutral,seldom saw
negative,lieutenant pricked ship course regularly chart could always tell exactly route nautilus
positive,nearly every day time panels drawing room opened never tired penetrating mysteries submarine world
neutral,general direction nautilus south east kept 100 150 yards depth
neutral,one day however know drawn diagonally means inclined planes touched bed sea
neutral,thermometer indicated temperature 4 25 cent
neutral,temperature depth seemed common latitudes
negative,three clock morning 26th november nautilus crossed tropic cancer 172 long
negative,27th instant sighted sandwich islands cook died february 14 1779
neutral,gone 4 860 leagues starting point
neutral,morning went platform saw two miles windward hawaii largest seven islands form group
positive,saw clearly cultivated ranges several mountain chains run parallel side volcanoes overtop mouna rea rise 5 000 yards level sea
positive,besides things nets brought several flabellariae graceful polypi peculiar part ocean
neutral,direction nautilus still south east
neutral,crossed equator december 1 142 long
neutral,4th month crossing rapidly without anything particular occurring sighted marquesas group
neutral,saw three miles martin peak nouka hiva largest group belongs france
positive,saw woody mountains horizon captain nemo wish bring ship wind
positive,nets brought beautiful specimens fish azure fins tails like gold flesh unrivalled nearly destitute scales exquisite flavour others bony jaws yellow tinged gills good bonitos fish would use us
positive,leaving charming islands protected french flag 4th 11th december nautilus sailed 2 000 miles
neutral,daytime 11th december busy reading large drawing room
neutral,ned land conseil watched luminous water half open panels
neutral,nautilus immovable
neutral,reservoirs filled kept depth 1 000 yards region rarely visited ocean large fish seldom seen
positive,reading charming book jean mace slaves stomach learning valuable lessons conseil interrupted
positive,master come moment said curious voice
positive,matter conseil want master look rose went leaned elbows panes watched
negative,full electric light enormous black mass quite immovable suspended midst waters
neutral,watched attentively seeking find nature gigantic cetacean
neutral,sudden thought crossed mind
neutral,vessel said half aloud
positive,yes replied canadian disabled ship sunk perpendicularly ned land right close vessel tattered shrouds still hung chains
positive,keel seemed good order wrecked hours
negative,three stumps masts broken two feet bridge showed vessel sacrifice masts
negative,lying side filled heeling port
negative,skeleton sad spectacle lay lost waves sadder still sight bridge corpses bound ropes still lying
neutral,counted five four men one standing helm woman standing poop holding infant arms
neutral,quite young
positive,could distinguish features water decomposed brilliant light nautilus
negative,one despairing effort raised infant head poor little thing whose arms encircled mother neck
negative,attitude four sailors frightful distorted convulsive movements whilst making last effort free cords bound vessel
negative,steersman alone calm grave clear face grey hair glued forehead hand clutching wheel helm seemed even guiding three broken masts depths ocean
neutral,scene
negative,dumb hearts beat fast shipwreck taken life photographed last moments
positive,saw already coming towards hungry eyes enormous sharks attracted human flesh
negative,terrible spectacle forerunner series maritime catastrophes nautilus destined meet route
